Region,Nature,Type,Description,Price,ModificationDate
El Menzah 5,Location,App. 3 pièc,S2 réez de chaussée,900,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 2 pièc,Appartement proche de la,3000,2024-06-03 00:00:00
Ain Zaghouan,Vente,App. 2 pièc,S1 ain zaghouan nord,265000,2024-06-03 00:00:00
El Omrane,Location,App. 3 pièc,S2 avec balcon pres metr,620,2024-06-03 00:00:00
Le Kram Est,Location,App. 3 pièc,Etage meuble s2 au kram,1300,2024-06-03 00:00:00
El Menzah 1,Location,App. 2 pièc,El menzah 1 studio meubl,650,2024-06-03 00:00:00
Sidi Daoud,Location,App. 4 pièc,Appartement meublé à sid,2800,2024-06-03 00:00:00
Cartage Byrsa,Location,App. 3 pièc,Etage de villa avec balc,2000,2024-06-03 00:00:00
Gammart,Location,App. 3 pièc,Penthouse avec vue dégag,6500,2024-06-03 00:00:00
Gammart,Location,App. 4 pièc,Rez de chaussee avec pis,4500,2024-06-03 00:00:00
Jardins de Cart,Location,App. 3 pièc,Etage de villa aux jardi,1900,2024-06-03 00:00:00
Gammart,Location,App. 5 pièc,Appartement avec piscine,6500,2024-06-03 00:00:00
Carthage,Location,App. 3 pièc,Etage avec vue dégagée à,2300,2024-06-03 00:00:00
Jardins de Cart,Location,App. 3 pièc,Etage de villa aux jardi,1800,2024-06-03 00:00:00
Monastir,Location,App. 3 pièc,Appt haut sanding longue duré,1100,2024-06-03 00:00:00
El Menzah 6,Location,App. 1 pièc,S 0 meublé  el manzeh 7,400,2024-06-03 00:00:00
Riadh Landlous,Location,App. 4 pièc,Un appart s 3 avec terra,1350,2024-06-03 00:00:00
Sidi Daoud,Location,App. 3 pièc,Appart meuble s3 a sidi,4500,2024-06-03 00:00:00
Republique,Location,App. 2 pièc,Appt luxe meuble avec ba,900,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 3 pièc,Rdc s3 avec terrasse a l,6500,2024-06-03 00:00:00
La Soukra,Location,App. 1 pièc,Rdc de villa s1 à la,700,2024-06-03 00:00:00
Marsa Erriadh,Location,App. 2 pièc,Appart s2 a la marsa ref,1250,2024-06-03 00:00:00
El Menzah 9,Location,App. 5 pièc,S 4 bien meublé,1400,2024-06-03 00:00:00
Marsa Erriadh,Location,App. 3 pièc,App s 2 vide,1400,2024-06-03 00:00:00
El Omrane Super,Location,App. 4 pièc,Un appartement s3 au rdc a om,750,2024-06-03 00:00:00
Republique,Location,App. 2 pièc,Appt luxe 2 chambres meu,800,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 2 pièc,Un joli s2 à ain zaghoua,1300,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 4 pièc,S3 très haut standing vi,1700,2024-06-03 00:00:00
Marsa Ennassim,Location,App. 3 pièc,Appartement avec vue dég,5000,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3500,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 4 pièc,Etage la marsa ville,2100,2024-06-03 00:00:00
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5000,2024-06-03 00:00:00
Hammam Lif,Location,App. 2 pièc,Local s plus 1 pour 550,550,2024-06-03 00:00:00
El Yasminette,Location,App. 3 pièc,1er etage de villa s3 a,900,2024-06-03 00:00:00
Ben Arous,Vente,App. 3 pièc,Un appartement s3 avec u,320000,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 3 pièc,S3 ain zaghouan,1700,2024-06-03 00:00:00
La Soukra,Vente,App. 2 pièc,S2 la soukra pres hamadi,245000,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 2 pièc,Luxueux s1 vide ou meubl,1250,2024-06-03 00:00:00
El Aouina,Location,App. 2 pièc,Appartement jardin l'aou,1100,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 4 pièc,Appart s3 haut standing,1800,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 2 pièc,Appartement s1 neuf a ai,1000,2024-06-03 00:00:00
El Menzah 7,Location,App. 4 pièc,S3 très bien meublé,1500,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 2 pièc,Un grand appt s plus 1 à,1050,2024-06-03 00:00:00
La Soukra,Vente,App. 2 pièc,S2 la soukra,245000,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 2 pièc,Un joli s1 spacieux à ai,1200,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 neuf a an,1200,2024-06-03 00:00:00
Nouvelle Medina,Vente,App. 3 pièc,Un appartement s 3 avec,290000,2024-06-03 00:00:00
Marsa Erriadh,Location,App. 3 pièc,Appartement s2 vide,1400,2024-06-03 00:00:00
Marsa Safsaf,Location,App. 1 pièc,S1 meublé marsa corniche,2100,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1300,2024-06-03 00:00:00
Jardins d'el Me,Vente,App. 2 pièc,S2 a jardin d'el menzah,300000,2024-06-03 00:00:00
La Soukra,Vente,App. 2 pièc,S plus 1 soukra hamadi a,165000,2024-06-03 00:00:00
El Yasmina,Vente,App. 3 pièc,Etage de villa el ra,140000,2024-06-03 00:00:00
Chotrana 2,Vente,App. 5 pièc,Magnifique apparteme,1070000,2024-06-03 00:00:00
El Menzah 9,Location,App. 2 pièc,S2 meuble 2000 menzah 9,2000,2024-06-03 00:00:00
Berge Du Lac,Location,App. 3 pièc,App s 2 meublé lac 1,2300,2024-06-03 00:00:00
Gammart,Location,App. 3 pièc,Villa s3 à ghammarth,3500,2024-06-03 00:00:00
El Aouina,Vente,App. 1 pièc,S plus 1 citee les palme,175000,2024-06-03 00:00:00
Bab El Khadra,Location,App. 5 pièc,Bureau h4 lafayette 1000,1000,2024-06-03 00:00:00
Chotrana 1,Location,App. 3 pièc,Étage de villa s plus 2,700,2024-06-03 00:00:00
El Aouina,Location,App. 3 pièc,S2 jamais habité à l'aou,1400,2024-06-03 00:00:00
El Aouina,Location,App. 3 pièc,S2 jamais habité à cité,1300,2024-06-03 00:00:00
Jardins d'el Me,Location,App. 3 pièc,Un app s 2 haut standing,1200,2024-06-03 00:00:00
Bou Mhel,Location,App. 3 pièc,Appart s2 à boumhel,850,2024-06-03 00:00:00
Jardins de Cart,Location,App. 2 pièc,S1 jamais habité aux jar,1500,2024-06-03 00:00:00
Kelibia,Vente,App. 1 pièc,Offre spécial  des appar,155000,2024-06-03 00:00:00
Bou Mhel,Location,App. 3 pièc,Rez de chaussée s2 à,600,2024-06-03 00:00:00
Kelibia,Vente,App. 1 pièc,Offre spécial des appart,195000,2024-06-03 00:00:00
Bou Mhel,Location,App. 2 pièc,Studio s1 à boumhal,350,2024-06-03 00:00:00
Cite El Ghazala,Location,App. 2 pièc,S 1 meublé ghazela,950,2024-06-03 00:00:00
Bou Mhel,Location,App. 3 pièc,Appart s3 a bassatin,950,2024-06-03 00:00:00
Cite Erriadh,Location,App. 2 pièc,Etage de villa s2 a,950,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 4 pièc,Un appa s 3 haut standin,2300,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 4 pièc,Un appart s 3 haut stand,1800,2024-06-03 00:00:00
Sidi Daoud,Vente,App. 3 pièc,Appartement à sidi d,1250000,2024-06-03 00:00:00
La Soukra,Vente,App. 3 pièc,S2 à la soukra,360000,2024-06-03 00:00:00
El Kantaoui,Vente,App. 5 pièc,Villa r plus 2 à el,1200000,2024-06-03 00:00:00
El Menzah 7,Vente,App. 2 pièc,S1 de haut standing a me,178000,2024-06-03 00:00:00
Salambo,Location,App. 3 pièc,Appartement hts a cartage sal,1200,2024-06-03 00:00:00
Jardins de Cart,Vente,App. 2 pièc,Appart s 1 marbre bl,270000,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 1 pièc,S plus 1 meuble ain zagh,900,2024-06-03 00:00:00
Jardins de Cart,Location,App. 3 pièc,J carthage s 2 jamai,2200,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 2 pièc,S2 à usage bureautique 9,950,2024-06-03 00:00:00
La Mannouba,Vente,App. 3 pièc,Appart s3 3éme etage,240000,2024-06-03 00:00:00
Jardins de Cart,Location,App. 2 pièc,S 1 tres haut standing j,1250,2024-06-03 00:00:00
Cite Ennasr 2,Location,App. 2 pièc,Bureau h2 2600 ennasr2,2600,2024-06-03 00:00:00
Borj Cedria,Location,App. 1 pièc,Studio propre meublé,280,2024-06-03 00:00:00
El Mourouj,Location,App. 2 pièc,App s1 bon standing mour,600,2024-06-03 00:00:00
Jardins de Cart,Location,App. 4 pièc,S 3 avec suite et 2 dres,1650,2024-06-03 00:00:00
Jardins de Cart,Location,App. 4 pièc,S 3 tres haut standing j,2500,2024-06-03 00:00:00
El Mourouj,Vente,App. 3 pièc,Appartement rebah,170000,2024-06-03 00:00:00
Borj Louzir,Vente,App. 4 pièc,Appartement s3 à borj lo,132000,2024-06-03 00:00:00
Ain Zaghouan,Location,App. 3 pièc,Étage de villa s3 ain za,1050,2024-06-03 00:00:00
El Mourouj,Vente,App. 4 pièc,Appartement  s3 haut sta,290000,2024-06-03 00:00:00
Ariana,Location,App. 4 pièc,Une grande appartement s3 aux,1200,2024-06-03 00:00:00
Jaafar 1,Vente,App. 3 pièc,S2 à nour jaafar,110000,2024-06-03 00:00:00
El Menzah 9,Vente,App. 3 pièc,S2 à menzah 9c,330000,2024-06-03 00:00:00
Cite El Khalil,Location,App. 3 pièc,Coquette appartement s2 vide,850,2024-06-03 00:00:00
